route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"6-R36-mjp-1","","3","Castlemaine - Harcourt Via Castlemaine","3","FF8200","FFFFFF"
"6-R37-mjp-1","","2","Castlemaine Via Castlemaine Hospital","3","FF8200","FFFFFF"
"6-R53-mjp-1","","","Cheshunt - Wangaratta Via Wangaratta - Whitfield Rd","3","FF8200","FFFFFF"
"6-R54-mjp-1","","Dudley","Wonthaggi Via Dudley","3","FF8200","FFFFFF"
"6-r89-mjp-1","","1","Castlemaine Via Campbells Creek","3","FF8200","FFFFFF"
"6-R95-mjp-1","","","Kyneton - Woodend Via Kyneton","3","FF8200","FFFFFF"
"6-rok-mjp-1","","","Ballarat - Rokewood Via Dereel, Enfield, Napoleons","3","FF8200","FFFFFF"
"6-RsK-mjp-1","","","Kyneton Town Centre - Lancefield Via Kyneton Town Centre","3","FF8200","FFFFFF"
"6-S01-mjp-1","","1","Stawell South Via Stawell South","3","FF8200","FFFFFF"
"6-S02-mjp-1","","2","Stawell North Via Stawell North","3","FF8200","FFFFFF"
"6-s05-mjp-1","","5","Glebe Estate - Sale Via Port of Sale","3","FF8200","FFFFFF"
"6-s06-mjp-1","","6","Glenhaven Park - Sale Via Port of Sale","3","FF8200","FFFFFF"
"6-SBO-mjp-1","","","Bendigo Station - Shepparton Station Via Bendigo Station","3","FF8200","FFFFFF"
"6-Sea-mjp-1","","","Seaspray - Sale Via Longford","3","FF8200","FFFFFF"
"6-Sh1-mjp-1","","1","Parkside Gardens Via GV Health","3","FF8200","FFFFFF"
"6-Sh2-mjp-1","","2","Parkside Gardens Via The Boulevard","3","FF8200","FFFFFF"
"6-Sh3-mjp-1","","3","GOTAFE William Orr Campus - Shepparton Via Golf Drive","3","FF8200","FFFFFF"
"6-Sh4-mjp-1","","4","Shepparton - Connolly Park Via Shepparton","3","FF8200","FFFFFF"
"6-Sh5-mjp-1","","5","Shepparton - Archer Via Shepparton","3","FF8200","FFFFFF"
"6-Sh6-mjp-1","","6","Shepparton - South East Via Shepparton","3","FF8200","FFFFFF"
"6-Sh7-mjp-1","","7","Shepparton - Marketplace Via Shepparton","3","FF8200","FFFFFF"
"6-Sh8-mjp-1","","8","Shepparton - Kialla Via Shepparton","3","FF8200","FFFFFF"
"6-Sh9-mjp-1","","9","Aquamoves - Shepparton Via Aquamoves","3","FF8200","FFFFFF"
"6-StA-mjp-1","","","Stawell - St Arnaud Via Ararat","3","FF8200","FFFFFF"
"6-StH-mjp-1","","","Stawell - Horsham Via Western Hwy","3","FF8200","FFFFFF"
"6-StS-mjp-1","","","Stawell - St Arnaud Via Marnoo","3","FF8200","FFFFFF"
"6-Tal-mjp-1","","","Tallangatta - Albury Via Killara, Bonegilla, Red Bluff","3","FF8200","FFFFFF"
"6-Tim-mjp-1","","","Timboon - Camperdown Via Camperdown - Cobden Rd","3","FF8200","FFFFFF"
"6-V63-mjp-1","","V63","Eildon - Alexandra Via Thornton","3","FF8200","FFFFFF"
"6-W04-mjp-1","","404","Yarrunga - Wangaratta Via Mason St","3","FF8200","FFFFFF"
"6-WoE-mjp-1","","E","East Wodonga Via East Wodonga","3","FF8200","FFFFFF"
"6-woM-mjp-1","","M","Wodonga Via Mayfair Drive","3","FF8200","FFFFFF"
"6-Woo-mjp-1","","","Woods Point - Mansfield Via Jamieson","3","FF8200","FFFFFF"
"6-WoS-mjp-1","","S","South Wodonga Via South Wodonga","3","FF8200","FFFFFF"
"6-WPC-mjp-1","","","Timboon - Warrnambool Via Port Campbell","3","FF8200","FFFFFF"
"6-wr1-mjp-1","","1","Dennington - Warrnambool Via Dennington","3","FF8200","FFFFFF"
"6-wr2-mjp-1","","2","Gateway Plaza - Warrnambool Via Centro","3","FF8200","FFFFFF"
"6-wr3-mjp-1","","3","Deakin University - Warrnambool Via Deakin University","3","FF8200","FFFFFF"
"6-wr4-mjp-1","","4","Tower Square - Warrnambool Via Tower Square","3","FF8200","FFFFFF"
"6-wr5-mjp-1","","5","Lake Pertobe Loop Via Lake Pertobe Loop","3","FF8200","FFFFFF"
"6-wr6-mjp-1","","6","Merrivale - Warrnambool Via Merrivale","3","FF8200","FFFFFF"
"6-wr8-mjp-1","","8","Port Fairy - Warrnambool Via Port Fairy","3","FF8200","FFFFFF"
"6-wr9-mjp-1","","9","Allansford - Warrnambool Via Allansford","3","FF8200","FFFFFF"
"6-Wyc-mjp-1","","","Wycheproof - Swan Hill Via Lalbert","3","FF8200","FFFFFF"
"6-xM4-mjp-1","","4","Maldon - Castlemaine Via Maldon","3","FF8200","FFFFFF"
