route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
"11-SK4-mjp-1","T0_1","13.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2_1","13.T2.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T3_1","13.T3.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UU","13.UU.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UZ","13.UZ.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0_1","14.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2_1","14.T2.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T3_1","14.T3.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UU","14.UU.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UZ","14.UZ.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0_1","15.T0.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T2_1","15.T2.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T3_1","15.T3.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UU","15.UU.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UZ","15.UZ.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0_1","16.T0.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T2_1","16.T2.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T3_1","16.T3.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UU","16.UU.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","UZ","16.UZ.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
